Genotyping_Sample_ID	Cluster	EV.1	EV.2	EV.3	EV.4	EV.5
MSSM_139	C	-0.036995	-0.006866	-0.128398	0.015441	0.062868
MSSM_14	D	-0.073534	0.000358	-0.010576	0.005381	0.036573
MSSM_140	D	-0.084819	0.000929	0.024735	-0.007669	-0.017179
MSSM_141	E	0.020248	0.001718	0.001812	0.011307	-0.005312
MSSM_142	B	0.018711	-0.078568	0.004118	-0.023288	0.003745
MSSM_143	B	0.018323	-0.081388	0.00551	-0.04759	-0.008697
MSSM_144	B	0.017923	-0.093021	0.009434	-0.055183	0.037105
MSSM_145	D	-0.085464	0.000957	0.024892	-0.006225	0.001511
MSSM_146	C	-0.056957	-0.002011	-0.08571	-0.004805	7.4e-05
MSSM_147	B	0.017455	-0.102677	0.002023	-0.051281	0.012397
MSSM_148	E	0.021559	0.015544	0.002443	0.034797	0.018859
MSSM_149	B	0.018475	-0.08342	0.004918	-0.078411	0.030631
MSSM_15	B	0.018617	-0.075461	0.003871	-0.003738	-0.008977
MSSM_151	C	-0.02971	-0.009554	-0.168682	-0.004383	-0.332775
MSSM_152	A	0.020914	0.028804	0.003621	0.007356	-0.004808
MSSM_153	A	0.02149	0.025952	0.001347	0.005964	-0.002304
MSSM_154	D	-0.079775	0.000841	0.016904	-0.001026	0.025315
MSSM_155	D	-0.08309	0.000848	0.027505	-0.000468	-0.013626
MSSM_156	C	-0.063228	-0.00018	-0.063822	0.004582	0.032382
MSSM_157	B	0.01814	-0.089278	0.003455	-0.031579	-0.013396
MSSM_158	G	0.020705	-0.018592	0.005495	0.028277	-0.019052
MSSM_16	A	0.021086	0.042319	-0.001228	-0.045426	-0.048369
MSSM_160	B	0.018035	-0.087054	0.006149	-0.045746	0.003816
MSSM_161	E	0.021456	0.031013	0.000314	0.004891	-0.037268
MSSM_162	D	-0.085867	0.000816	0.020763	-0.000615	-0.006871
MSSM_163	A	0.02139	0.01954	-0.000264	-0.003396	-0.001603
MSSM_164	A	0.02093	0.033332	0.005796	-0.00697	0.00307
MSSM_165	C	-0.034881	-0.006412	-0.0743	0.016832	0.085396
MSSM_166	D	-0.086033	0.000691	0.01645	0.006024	0.009513
MSSM_167	A	0.020511	0.030564	-0.001183	-0.034756	-0.003599
MSSM_168	A	0.022131	0.034545	0.003646	-0.014377	0.007749
MSSM_170	D	-0.077605	0.000896	0.000904	-0.013226	0.00955
MSSM_171	A	0.021828	0.029224	-0.000687	-0.037865	0.00825
MSSM_172	B	0.019706	-0.07514	0.003492	-0.015932	-0.006081
MSSM_173	B	0.017752	-0.081573	-0.003557	-0.04982	0.00896
MSSM_174	B	0.017569	-0.080001	-0.000378	-0.055136	-0.003369
MSSM_175	B	0.017945	-0.092879	0.001628	-0.028298	0.052482
MSSM_176	B	0.01774	-0.083807	0.004596	-0.047438	-0.014466
MSSM_177	E	0.019875	-0.002087	0.000347	0.006219	0.020681
MSSM_179	B	0.019037	-0.072132	0.000373	0.004381	-0.003957
MSSM_180	B	0.01901	-0.065051	0.002646	0.035551	0.011627
MSSM_181	E	0.020624	0.029413	-0.003157	-0.003991	-0.011669
MSSM_182	F	0.018226	-0.036244	-0.003524	0.100708	0.02418
MSSM_183	B	0.017332	-0.089476	-0.00137	-0.013693	-0.01954
MSSM_184	B	0.018794	-0.081073	0.005471	-0.049579	0.034118
MSSM_185	C	-0.043717	-0.00361	-0.226215	-0.010006	0.002194
MSSM_186	A	0.020684	0.029646	-0.003632	-0.012045	-0.007137
MSSM_187	E	0.020817	0.022139	0.004935	-0.001678	-0.008558
MSSM_188	D	-0.082569	0.000785	0.01938	-0.000205	-0.004663
MSSM_189	G	0.020075	-0.035519	0.005371	0.070134	-0.034751
MSSM_192	C	-0.019555	0.000218	-0.225253	-0.005323	-0.015713
MSSM_194	G	0.021213	-0.008487	0.005561	0.035228	-0.000442
MSSM_195	C	-0.067554	0.000314	-0.041336	-0.009482	0.010303
MSSM_196	C	-0.002694	-0.004689	-0.139107	0.153431	0.216949
MSSM_197	D	-0.073397	0.000784	0.014655	-0.00396	-0.007107
MSSM_2	B	0.018109	-0.080142	0.003035	-0.052706	0.016421
MSSM_20	B	0.018653	-0.082494	0.005699	-0.009092	0.001522
MSSM_200	D	-0.079299	0.000668	0.011082	-0.003605	-0.022177
MSSM_201	A	0.021526	0.029819	0.00044	0.014382	0.007189
MSSM_202	B	0.01865	-0.077848	0.007682	-0.038331	0.00469
MSSM_204	A	0.021065	0.027559	0.001135	-0.007563	0.004595
MSSM_205	D	-0.083015	0.000763	0.019186	-0.003387	0.00762
MSSM_208	D	-0.08518	0.000884	0.026843	-0.003238	0.008552
MSSM_209	A	0.020546	0.040589	-0.004277	-0.029303	-0.003629
MSSM_21	D	-0.067742	0.00103	0.041618	-0.005013	-0.008873
MSSM_210	B	0.018167	-0.085425	0.005244	-0.039815	0.028264
MSSM_211	A	0.021745	0.033938	-0.002954	-0.045839	0.007584
MSSM_212	B	0.018499	-0.072791	-5.3e-05	-0.059125	0.03118
MSSM_215	F	0.018829	-0.037848	0.002006	0.112524	0.004727
MSSM_219	E	0.021408	0.02757	0.000672	0.020073	0.002349
MSSM_22	B	0.018416	-0.0905	0.005029	-0.021923	0.023491
MSSM_220	B	0.019223	-0.085646	0.005916	-0.007266	-0.053835
MSSM_221	F	0.019059	-0.026305	-0.00058	0.139106	-0.024804
MSSM_223	A	0.022163	0.028458	0.00505	-0.015682	0.009969
