Gene Symbol,Affymetrix ID,Module Assigned
1700054O13Rik,1420424_at,NA
1700055O19Rik,1449831_at,NA
1700060H10Rik,1426768_at,NA
1700065A05Rik,1434846_at,NA
1700065I17Rik,1420574_at,NA
1700067C01Rik,1425852_at,NA
1700067P10Rik,1420724_at,NA
1700072E05Rik,1449985_at,NA
1700073E17Rik,1420258_at,NA
1700073E17Rik,1420257_at,NA
1700074P13Rik,1432301_a_at,NA
1700080E11Rik,1419337_at,NA
1700081L11Rik,1452373_at,NA
1700081L11Rik,1432430_a_at,NA
1700082M22Rik,1421639_at,NA
1700088E04Rik,1422774_at,black
1700091H14Rik,1449832_at,NA
1700093K21Rik,1420702_at,NA
1700094D03Rik,1429907_at,NA
1700094J05Rik,1460266_at,NA
1700095F04Rik,1420341_at,NA
1700095N21Rik,1418546_a_at,black
1700097N02Rik,1456546_at,NA
1700097N02Rik,1455692_x_at,NA
1700097N02Rik,1436419_a_at,NA
1700102P08Rik,1419531_at,NA
1700108E19Rik,1450274_at,NA
1700108L22Rik,1451508_at,NA
1700112P19Rik,1449487_at,NA
1700113O17Rik,1418303_at,NA
1700120K04Rik,1420681_at,NA
1700123K08Rik,1421675_at,NA
1700123O20Rik,1416917_at,grey
1700129C05Rik,1423469_at,NA
1810003N24Rik,1450735_at,turquoise
1810006K21Rik,1425242_at,NA
1810007E14Rik,1418871_a_at,NA
1810007M14Rik,1418007_at,NA
1810007M14Rik,1418008_at,NA
1810007M14Rik /// LOC547292,1418009_at,NA
1810008A14Rik,1416909_at,NA
1810008A18Rik,1417448_at,NA
1810008K03Rik,1451382_at,grey
1810008K16Rik,1418111_at,NA
1810008O21Rik,1460424_at,NA
1810009A15Rik,1417886_at,NA
1810009A16Rik,1454668_at,NA
1810009J06Rik,1422918_at,NA
1810009K13Rik,1423358_at,NA
1810009M01Rik,1418004_a_at,lightyellow
1810009N02Rik,1429730_at,NA
1810009O10Rik,1451334_at,grey
1810010G06Rik,1452326_at,NA
1810010M01Rik,1428359_s_at,NA
1810010M01Rik,1434137_x_at,NA
1810010M01Rik,1428358_at,NA
1810011O10Rik,1451415_at,green
1810011O16Rik,1432444_a_at,NA
1810012N18Rik,1427131_s_at,grey
1810013B01Rik,1451326_at,NA
1810014F10Rik,1452626_a_at,NA
1810014L12Rik,1416376_at,NA
1810015C04Rik,1424683_at,blue
1810015C04Rik,1450505_a_at,turquoise
1810015M01Rik,1460702_at,green
1810017G16Rik,1417105_at,NA
